Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-10-07,Climax,2018,https://boxd.it/PC3BT,3.5,,,2019-10-06
2019-10-07,Spider-Man: Homecoming,2017,https://boxd.it/PC4mv,3,,,2019-10-06
2019-10-07,The Shawshank Redemption,1994,https://boxd.it/PC6c3,5,,,2019-10-06
2019-10-09,Phantom of the Paradise,1974,https://boxd.it/PJUnf,4,,,2019-10-08
2021-03-08,Mission: Impossible II,2000,https://boxd.it/1I23i1,3,Yes,,2021-03-07
2021-03-22,L.A. Confidential,1997,https://boxd.it/1JURZ7,,Yes,,2021-03-22
2021-04-16,The Silence of the Lambs,1991,https://boxd.it/1NsA9t,,,,2021-04-16
2022-11-20,Athena,2022,https://boxd.it/3rXpWz,4,,,2022-09-28
2022-10-13,Licorice Pizza,2021,https://boxd.it/3jKKpt,5,,,2022-10-12
2022-10-13,Dune,2021,https://boxd.it/3jKMOZ,4.5,,,2022-10-12
2022-10-21,Masquerade,2022,https://boxd.it/3lv8Dl,2.5,,,2022-10-20
2022-10-30,EO,2022,https://boxd.it/3neA7V,2,,,2022-10-29
2022-10-30,Pearl,2022,https://boxd.it/3nkhIv,3,,,2022-10-29
2022-11-01,Barbarian,2022,https://boxd.it/3nQFSt,3,,,2022-10-31
2022-11-01,Wendell & Wild,2022,https://boxd.it/3nR0V9,,,,2022-11-01
2022-11-01,Hocus Pocus 2,2022,https://boxd.it/3nYeRf,2,,,2022-11-01
2022-11-06,November,2022,https://boxd.it/3oSIUl,3.5,,,2022-11-05
2022-11-08,Copshop,2021,https://boxd.it/3pnLjz,4,,,2022-11-07
2022-11-08,Our Happy Holiday,2018,https://boxd.it/3ppc1p,1.5,,,2022-11-07
2022-11-09,Thief,1981,https://boxd.it/3pBoMr,4.5,Yes,,2022-11-08
2022-11-12,Burning,2018,https://boxd.it/3q3Jpz,2,,,2022-11-11
2022-11-16,Amsterdam,2022,https://boxd.it/3r4hI5,1,,,2022-11-15
2022-11-17,The Wonder,2022,https://boxd.it/3rg72x,4,,,2022-11-16
2022-11-20,Spirited,2022,https://boxd.it/3rNf2h,3.5,,,2022-11-19
