Date,Name,Year,Letterboxd URI
2021-12-29,Birdy,1984,https://boxd.it/1Ucy
2022-01-03,Petrov's Flu,2021,https://boxd.it/mvOY
2022-01-06,"Onoda: 10,000 Nights in the Jungle",2021,https://boxd.it/pYiS
2022-03-17,Crows Zero,2007,https://boxd.it/1N4i
2022-03-24,Casualties of War,1989,https://boxd.it/1WZ8
2022-04-11,In the Name of the Father,1993,https://boxd.it/20I6
2022-05-15,Midnight,2021,https://boxd.it/nhSO
2022-06-02,Ain't Them Bodies Saints,2013,https://boxd.it/4OgA
2022-06-04,A Summer's Tale,1996,https://boxd.it/183e
2022-06-16,Day of Anger,1967,https://boxd.it/pg8
2022-06-26,Krisha,2015,https://boxd.it/ax4E
2022-07-29,Three Days of the Condor,1975,https://boxd.it/1SF4
2022-09-23,Rising Sun,1993,https://boxd.it/21d4
2022-10-23,City of Men,2007,https://boxd.it/20Zm
2022-10-25,The Humans,2021,https://boxd.it/lEQM
2022-11-06,The King and the Mockingbird,1980,https://boxd.it/1At0
2022-12-18,The Novice,2021,https://boxd.it/uWMc
2022-12-24,20 Feet from Stardom,2013,https://boxd.it/4Yoa
2023-01-03,Unbroken,2014,https://boxd.it/6IaA
2023-01-31,Body Double,1984,https://boxd.it/1TGW
2023-02-23,Leaving Las Vegas,1995,https://boxd.it/2amE
2023-02-23,Mysterious Skin,2004,https://boxd.it/1UsG
2023-03-23,Cyber City Oedo 808,1990,https://boxd.it/Oi4O
2023-03-24,Saint Maud,2019,https://boxd.it/l8QA
2023-05-15,Belladonna of Sadness,1973,https://boxd.it/2q
2023-05-23,Thelma,2017,https://boxd.it/e7Ce
2023-07-18,The Wind That Shakes the Barley,2006,https://boxd.it/293Q
2023-10-07,Sexy Beast,2000,https://boxd.it/1SZS
2023-10-09,Mishima: A Life in Four Chapters,1985,https://boxd.it/1sBA
2023-10-20,Solaris,1972,https://boxd.it/2a2Y
2023-10-20,Mirror,1975,https://boxd.it/28Q8
2023-10-28,A Matter of Life and Death,1946,https://boxd.it/1q6K
2023-10-28,Charade,1963,https://boxd.it/23O2
2023-10-31,Cutthroat Island,1995,https://boxd.it/28OG
2023-10-31,A League of Their Own,1992,https://boxd.it/1UdG
2023-11-04,Something Wild,1986,https://boxd.it/1UbU
2023-11-04,Down by Law,1986,https://boxd.it/28CA
2023-11-06,Silence,2016,https://boxd.it/2cAo
2023-11-06,The Age of Innocence,1993,https://boxd.it/1WgM
2023-11-06,The Seven Year Itch,1955,https://boxd.it/1VIK
2023-11-06,Stalag 17,1953,https://boxd.it/29Xa
2023-11-07,Before Sunset,2004,https://boxd.it/2bcg
2023-11-09,Elle,2016,https://boxd.it/bdhq
2023-11-18,Dodes'ka-den,1970,https://boxd.it/1fVs
2023-11-22,Heavy,1995,https://boxd.it/1AhS
2023-12-09,Million Dollar Arm,2014,https://boxd.it/5Y34
2023-12-10,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG
2023-12-10,Final Cut: Ladies and Gentlemen,2012,https://boxd.it/491E
2023-12-11,The Breadwinner,2017,https://boxd.it/frLs
2023-12-13,Wicked City,1987,https://boxd.it/1BSA
2023-12-30,Fallen Leaves,2023,https://boxd.it/Bgew
2024-03-12,Before the Devil Knows You're Dead,2007,https://boxd.it/20Jy
2024-03-19,Joint Security Area,2000,https://boxd.it/26Ja
2024-04-06,Wildlife,2018,https://boxd.it/eKYe
2024-06-07,A Serious Man,2009,https://boxd.it/1RFW
2024-06-07,Nineteen Eighty-Four,1984,https://boxd.it/1YZE
2024-07-31,River,2023,https://boxd.it/H1sK
2024-08-19,Sweet Smell of Success,1957,https://boxd.it/29aW
2024-08-19,Battleship Potemkin,1925,https://boxd.it/29Vo
2024-08-21,Hairpin Circus,1972,https://boxd.it/6m4U
2024-08-24,SPL 2: A Time for Consequences,2015,https://boxd.it/aSZG
2024-08-31,Vampire Hunter D,1985,https://boxd.it/1YCg
2024-10-04,Stardust,2007,https://boxd.it/272w
2024-10-06,The Movie Orgy,1968,https://boxd.it/48qy
2024-10-09,Amores Perros,2000,https://boxd.it/2bfu
2024-10-12,Lilo & Stitch,2002,https://boxd.it/1TAY
2024-10-27,Suzhou River,2000,https://boxd.it/1Tsq
2024-10-30,Angel Heart,1987,https://boxd.it/29WG
2024-10-31,The Day of the Beast,1995,https://boxd.it/1Vyg
2024-11-19,Master and Commander: The Far Side of the World,2003,https://boxd.it/200S
2025-01-03,Kate & Leopold,2001,https://boxd.it/1Uj0
2025-01-19,Samuel,2024,https://boxd.it/LWKk
2025-01-19,Rap World,2024,https://boxd.it/LPe2
2025-02-13,The Day the Earth Blew Up: A Looney Tunes Movie,2024,https://boxd.it/wPxe
2025-02-19,A Cure for Wellness,2016,https://boxd.it/bkQW
2025-02-21,Vox Lux,2018,https://boxd.it/fcFk
2025-03-01,The Pale Blue Eye,2022,https://boxd.it/u8tk
2025-05-31,The Rapture,2023,https://boxd.it/BDf8
2025-06-06,Bird,2024,https://boxd.it/GGhm
2025-07-06,Baraka,1992,https://boxd.it/1OWA
2025-07-12,Europa Report,2013,https://boxd.it/5n0s
2025-07-14,Conan the Destroyer,1984,https://boxd.it/1Yfc
2025-07-16,My Darling Clementine,1946,https://boxd.it/25LE
2025-07-25,The Devil's Candy,2015,https://boxd.it/bWrU
2025-08-05,When the Wind Blows,1986,https://boxd.it/1VdC
2025-08-09,Streetwise,1984,https://boxd.it/XKw
2025-08-09,Adventureland,2009,https://boxd.it/1JTQ
2025-08-10,Pirates of the Caribbean: Tales of the Code: Wedlocked,2011,https://boxd.it/6Nrw
2025-10-12,The Prince of Egypt,1998,https://boxd.it/1XGQ
2025-10-12,A Silent Voice: The Movie,2016,https://boxd.it/d99c
2025-10-13,Life of Pi,2012,https://boxd.it/37pC
2025-10-15,Begin Again,2013,https://boxd.it/5Ybs
2025-10-15,Short Term 12,2013,https://boxd.it/5f6s
2025-10-29,Dressed to Kill,1980,https://boxd.it/1UO8
2025-11-02,The Fountainhead,1949,https://boxd.it/1xgW
2025-11-02,The Leopard,1963,https://boxd.it/296K
2025-11-02,Marie-Octobre,1959,https://boxd.it/2Ess
2025-11-02,Rachel Getting Married,2008,https://boxd.it/1N30
2025-11-03,"Synecdoche, New York",2008,https://boxd.it/23zw
2025-11-10,Sleepless in Seattle,1993,https://boxd.it/29re
2025-11-15,Midnight Run,1988,https://boxd.it/1ZnQ
2025-11-17,Dick Tracy,1990,https://boxd.it/201w
2025-11-23,Badlands,1973,https://boxd.it/25Fm
2025-11-23,Il Sorpasso,1962,https://boxd.it/1y7Q
2025-11-24,Mustang,2015,https://boxd.it/baaw
2025-12-02,The Hidden Fortress,1958,https://boxd.it/295M
2025-12-07,Pigs and Battleships,1961,https://boxd.it/1jQG
2025-12-18,The Vanishing,1988,https://boxd.it/1ZTW
2026-01-02,The Nile Hilton Incident,2017,https://boxd.it/fb06
