Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-10-06,Halloween 2024,,https://boxd.it/zkcVk,

Position,Name,Year,URL,Description
1,Terrifier,2016,https://boxd.it/eRzg,
2,Evil Dead,2013,https://boxd.it/3GPq,
3,It Follows,2014,https://boxd.it/87wo,
4,Ready or Not,2019,https://boxd.it/kOf0,
5,Little Shop of Horrors,1986,https://boxd.it/1Vqm,
6,Coraline,2009,https://boxd.it/1NhQ,
7,Hellbound: Hellraiser II,1988,https://boxd.it/1ZfW,
8,The Witches of Eastwick,1987,https://boxd.it/2272,
9,V/H/S/Beyond,2024,https://boxd.it/Jbwc,
10,Late Night with the Devil,2023,https://boxd.it/zo6G,
11,Ichi the Killer,2001,https://boxd.it/1Y1O,
12,It's What's Inside,2024,https://boxd.it/DOV4,
13,Cure,1997,https://boxd.it/1blA,
14,The Howling,1981,https://boxd.it/1Uce,
15,Us,2019,https://boxd.it/gnV6,
16,Frankenhooker,1990,https://boxd.it/1saE,
17,Suspiria,1977,https://boxd.it/1SNW,
18,Shaun of the Dead,2004,https://boxd.it/29J8,
19,The Hitcher,1986,https://boxd.it/1Yq0,
20,Prince of Darkness,1987,https://boxd.it/1ZKq,
