Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2019-10-04,Eyes Wide Shut,1999,https://boxd.it/PsZH1,3,,Don't take a cab to a fancy party,,
2019-10-07,Climax,2018,https://boxd.it/PC3BT,3.5,,Sacré Gaspar !,,2019-10-06
2019-10-07,Spider-Man: Homecoming,2017,https://boxd.it/PC4mv,3,,Not as bad as I thought. Can't wait for the next Spiderman reboot !,,2019-10-06
2019-10-07,The Shawshank Redemption,1994,https://boxd.it/PC6c3,5,,I think this is the one. The one movie that we can all agree on.,,2019-10-06
2019-10-09,Phantom of the Paradise,1974,https://boxd.it/PJUnf,4,,"Good music, good scenery, good camera moves, daaaamn De Palma knew how to make a movie ! What happened to you Brian ? :(",,2019-10-08
2019-11-07,The King,2019,https://boxd.it/RvJLl,,,"Well I fell asleep midway through the film so I guess it's not a good sign... BUT when I woke up one hour later I was curious enough to finish it, and I don't regret it.

Chalamet is Chalamesque as always (don't ask me what it means but it's good), really wondered if he could pull off a credible king and let me just say I will fight for you anyday Tim.

As a french guy I can say that Robert Pattinson is pretty good as playing a pretentious prick, but when you lived in Paris for a while you know it doesn't come close to the real deal.

Apart from that:
- the guy from Avatar is a good sidekick
- the battle scenes are RAW (you know the kind of movies when you leave the theater pumped up and you want to enlist?...not that kind)
- Happy that there is ONE french actor (playing Charles VI) in this film about war against France
- Lily Rose Depp, low-key performance, I guess she didn't take much from her father ?

All in all, I liked it. Can't wait for the The Return of the King !",,
2021-03-08,Mission: Impossible II,2000,https://boxd.it/1I23i1,3,Yes,Not enough doves,,2021-03-07
2022-11-09,Thief,1981,https://boxd.it/3pBoMr,4.5,Yes,Tangerine Dream ♥️,,2022-11-08
2022-12-21,The Banshees of Inisherin,2022,https://boxd.it/3yDZWD,4.5,,Fecking bread vans,,2022-12-21
2023-11-15,Witness for the Prosecution,1957,https://boxd.it/5a4ACN,4.5,,"+ Un des meilleurs films de procès
+ Intrigue
+ Dialogues
+ Charles Laughton: top performance
+ Humour de Billy Wilder
",,2023-11-14
2023-11-15,(500) Days of Summer,2009,https://boxd.it/5aa3jZ,3.5,,"+ Plein de bonnes idées de mise en scène
+ Original à l'époque, a bien vieilli
+ Rien n'est tout blanc ou tout noir
- Aucun perso n'est attachant mis a part la petite sœur qu'on voit 3 minutes en tout
- Quelques passages un peu cheesy",,2023-11-14
2023-11-16,A Dangerous Method,2011,https://boxd.it/5azRBJ,4.5,Yes,"+ C'est beau !
+ C'est bien joué, les 3 acteurs sont parfaits (+ Gross)
+ C'est intéressant
- Ça manque de cocaïne",,2023-11-16
2023-11-17,Network,1976,https://boxd.it/5aDgZ3,5,,"+ 50 years later, more relevant than ever
+ Great script
+ Great performances
+ Great directing",,2023-11-16
2023-11-18,Ran,1985,https://boxd.it/5aUoSD,5,,Magnifique,,2023-11-17
2023-11-19,WarGames,1983,https://boxd.it/5blVI1,4,,"+ Bonne idée
+ Des scènes de hacking crédibles
+ Des persos attachants (l'ado expert en ordis est cool pour une fois)
+ Des DINOSAURES
+ Ça sent bon les 80's",,2023-11-18
2023-11-22,Identity,2003,https://boxd.it/5coz2H,4,,"+ Slasher original
+ Fun
+ Tout se passe en une nuit",,2023-11-21
2023-12-18,How the Grinch Stole Christmas,2000,https://boxd.it/5liNPH,4.5,Yes,"""When the Grinch pulls the sheet off of the table, all of the silverware was scripted to fall off. Jim Carrey pulled the sheet off so well that he improvised and went back to push the silverware off.""",,2023-12-17
